Entry Date,Resource,Name,Project,Status,Organization,Location,Billable,Temp,Client,Hours,Type
12/15/23 0:00,Role,Lishe Buglass (Z376945),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,No,Kuhlman Group,6.6,Projected
1/26/24 0:00,Role,Sibylla Clorley (K023433),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,No,Kuhlman Group,7.8,Projected
12/15/23 0:00,Role,Theresita Rosentholer (D297749),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,Yes,Kuhlman Group,4.9,Projected
12/9/23 0:00,Role,Leighton Lamasna (G492895),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,Yes,Kuhlman Group,6.2,Projected
1/26/24 0:00,Role,Bob Vipan (Y540682),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,No,Kuhlman Group,7.8,Actual
12/25/23 0:00,Role,Sauncho Ventura (A877692),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,Yes,Kuhlman Group,3.5,Actual
12/7/23 0:00,Role,Gallard Alen (D358095),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,Yes,Yes,Kuhlman Group,6.4,Projected
12/5/23 0:00,Role,Bren Gorman (X094256),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,Yes,Kuhlman Group,7.5,Actual
12/26/23 0:00,Role,Afton McKelloch (K554518),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,No,Kuhlman Group,7,Projected
1/14/24 0:00,Role,Teddie Demeza (X326950),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,Yes,Yes,Kuhlman Group,3.6,Actual
1/4/24 0:00,Role,Ford Fernan (H092322),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,Yes,Kuhlman Group,1.7,Actual
11/30/23 0:00,Role,Marcelline Boorne (P450983),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,Yes,No,Kuhlman Group,4.3,Projected
12/26/23 0:00,Role,Diego Kremer (C633285),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,Yes,Kuhlman Group,5.6,Actual
1/28/24 0:00,Role,Jesus Philimore (S164735),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,Yes,No,Kuhlman Group,1.4,Actual
12/13/23 0:00,Role,Fredrick Boys (W011337),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,Yes,Yes,Kuhlman Group,8,Actual
12/26/23 0:00,Role,Warren Stanhope (E076637),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,No,Kuhlman Group,7,Actual
12/14/23 0:00,Role,Silvana Edmeads (B278324),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,Yes,No,Kuhlman Group,7.1,Projected
1/18/24 0:00,Role,Janel Shattock (Y248359),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,No,Kuhlman Group,7.9,Actual
1/29/24 0:00,Role,Joane Niess (G452039),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,Yes,No,Kuhlman Group,4.8,Actual
12/17/23 0:00,Role,Gweneth Orth (K366951),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,Yes,No,Kuhlman Group,2.9,Projected
12/26/23 0:00,Role,Kristan Hugnin (I967632),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,Yes,Kuhlman Group,3,Actual
12/8/23 0:00,Role,Joletta Thuillier (Q375106),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,Yes,Yes,Kuhlman Group,2.8,Projected
1/29/24 0:00,Role,Almeda Tesmond (J593985),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,No,Kuhlman Group,1.7,Actual
12/25/23 0:00,Role,Morey Wands (B188215),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,Yes,Yes,Kuhlman Group,4.6,Actual
12/31/23 0:00,Role,Merrielle Penhaligon (J853298),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,Yes,Kuhlman Group,2.5,Projected
1/7/24 0:00,Role,Nataline Macquire (R596907),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,Yes,Kuhlman Group,7.2,Actual
12/19/23 0:00,Role,Diane-marie Huggan (N312419),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,No,Kuhlman Group,1.8,Projected
12/23/23 0:00,Role,Cody Heale (L967190),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,Yes,No,Kuhlman Group,1.5,Actual
12/28/23 0:00,Role,Fawnia Debling (B751759),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,Yes,No,Kuhlman Group,2.4,Actual
1/12/24 0:00,Role,Walt Dinwoodie (S006207),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,No,Kuhlman Group,2.9,Actual
12/1/23 0:00,Role,Lelia Guarin (D434210),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,No,Kuhlman Group,5.3,Actual
12/7/23 0:00,Role,Sal Grinsted (V024720),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,No,Kuhlman Group,1.2,Projected
1/13/24 0:00,Role,Lilia Ivanusyev (F772110),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,No,Kuhlman Group,4,Projected
1/14/24 0:00,Role,Elmo Aylen (G237732),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,No,Kuhlman Group,1.4,Actual
11/28/23 0:00,Role,Audrie Mungin (I161345),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,Yes,No,Kuhlman Group,7.8,Actual
1/26/24 0:00,Role,Ameline Phillipps (B166322),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,No,Kuhlman Group,4.1,Projected
11/29/23 0:00,Role,Christye Ouchterlony (L086689),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,No,Kuhlman Group,6.4,Actual
1/10/24 0:00,Role,Karisa Guitton (F028724),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,Yes,Kuhlman Group,2.2,Actual
12/28/23 0:00,Role,Guillema Probbing (R959373),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,Yes,No,Kuhlman Group,2.1,Projected
12/5/23 0:00,Role,Sydney Allnatt (X875895),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,Yes,Yes,Kuhlman Group,3.9,Actual
1/13/24 0:00,Role,Reade Langlois (F325366),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,Yes,No,Kuhlman Group,5.2,Actual
12/18/23 0:00,Role,Lenard Skivington (R966342),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,Yes,Kuhlman Group,3.1,Actual
1/14/24 0:00,Role,Kylila Dormer (U067267),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,Yes,No,Kuhlman Group,4.4,Actual
12/23/23 0:00,Role,Osborn Salvin (B284550),Multi-channelled upward-trending toolset (P003170-420),Unapproved,Launch Consulting,USA,No,No,Kuhlman Group,1.3,Actual
12/1/23 0:00,Role,Rossie Cordet (G696635),Upgradable next generation architecture (P005082-771),Unapproved,Launch Consulting,USA,No,Yes,Ward-Orn,5.6,Actual
12/29/23 0:00,Role,Zelig Pow (R576581),Switchable disintermediate infrastructure (P000077-649),Unapproved,Launch Consulting,USA,Yes,Yes,"Fritsch, Murray and Mayert",7.5,Projected
1/30/24 0:00,Role,Tansy Wildbore (F746012),Profound analyzing time-frame (P009673-032),Approved,Launch Consulting,USA,Yes,Yes,Reilly Inc,1.7,Actual
1/8/24 0:00,Role,Herc Matterson (G541917),Inverse optimizing methodology (P007768-934),Approved,Launch Consulting,USA,Yes,No,"Kulas, Gutmann and Greenfelder",4.4,Actual
1/6/24 0:00,Role,Penn Dealy (I044526),Networked demand-driven software (P001058-330),Unapproved,Launch Consulting,USA,No,No,"Walter, Lemke and Walker",2.9,Actual
11/28/23 0:00,Role,Costa Gulk (A314481),Universal eco-centric artificial intelligence (P009530-529),Unapproved,Launch Consulting,USA,Yes,Yes,Bode-Mraz,2.4,Actual
1/19/24 0:00,Role,Niki Iianon (M576416),Grass-roots bifurcated paradigm (P006805-565),Approved,Launch Consulting,USA,Yes,Yes,Bode-Mraz,2.3,Actual
12/20/23 0:00,Role,Natty Balassa (L445091),Triple-buffered 4th generation help-desk (P009718-599),Approved,Launch Consulting,USA,No,Yes,Bode-Mraz,7.3,Actual
12/21/23 0:00,Role,Saw McGaugey (C271253),Managed optimal budgetary management (P008307-425),Approved,Launch Consulting,USA,Yes,Yes,Bode-Mraz,2.6,Actual
12/31/23 0:00,Role,Renae Pollack (J579685),Stand-alone high-level algorithm (P007648-939),Approved,Launch Consulting,USA,Yes,Yes,Bode-Mraz,2.4,Actual
12/2/23 0:00,Role,Cari Carnduff (E811148),Monitored discrete concept (P003165-350),Approved,Launch Consulting,USA,Yes,Yes,"Connelly, Jacobi and Sawayn",4.4,Projected
12/17/23 0:00,Role,Dene Seakin (N416729),Future-proofed heuristic strategy (P002768-221),Approved,Launch Consulting,USA,No,No,Shanahan Group,5.9,Projected
1/1/24 0:00,Role,Nichol Maccree (A986614),Intuitive contextually-based alliance (P000896-396),Approved,Launch Consulting,USA,No,Yes,Lemke-Oberbrunner,1.4,Actual
12/19/23 0:00,Role,Abbe Chilcotte (H579342),Secured foreground intranet (P008007-866),Unapproved,Launch Consulting,USA,Yes,No,Balistreri-Olson,4.8,Projected
1/2/24 0:00,Role,Tyler Kinsella (I321284),Customer-focused 4th generation migration (P005345-109),Approved,Launch Consulting,USA,Yes,Yes,"Yundt, Smitham and Bode",1.8,Actual
11/29/23 0:00,Role,Ally MacGown (E140794),Upgradable clear-thinking strategy (P003780-244),Approved,Launch Consulting,USA,Yes,No,McKenzie LLC,4.7,Actual
1/29/24 0:00,Role,Riannon Brandin (I646315),Stand-alone full-range standardization (P000162-391),Approved,Launch Consulting,USA,No,No,Hilpert and Sons,6,Actual
11/27/23 0:00,Role,Berni Mosten (N864067),Reverse-engineered upward-trending alliance (P001431-226),Approved,Launch Consulting,USA,Yes,Yes,Beahan Group,6,Projected
12/15/23 0:00,Role,Irwinn Brigshaw (M690433),Enterprise-wide exuding framework (P008128-345),Approved,Launch Consulting,USA,No,No,Fay-Kilback,3.8,Actual
11/29/23 0:00,Role,Tiertza Vicary (L088179),Quality-focused mobile core (P006620-496),Unapproved,Launch Consulting,USA,No,No,Crooks Group,5.6,Projected
12/2/23 0:00,Role,Cherianne Bettridge (O242694),Cross-platform even-keeled superstructure (P008815-560),Unapproved,Launch Consulting,USA,No,No,Krajcik-Kris,6.6,Projected
12/9/23 0:00,Role,Norby Northin (P802631),Digitized solution-oriented archive (P001438-464),Approved,Launch Consulting,USA,Yes,Yes,Witting Group,1.1,Projected
1/6/24 0:00,Role,Winnah Cartmel (S751206),Assimilated regional emulation (P001997-221),Approved,Launch Consulting,USA,Yes,Yes,Marks Group,6,Actual
12/19/23 0:00,Role,Rosette Huck (D035222),Organic human-resource interface (P006265-616),Unapproved,Launch Consulting,USA,Yes,No,Boehm-Pfeffer,6.4,Projected
12/23/23 0:00,Role,Jolie Vreiberg (N522122),Organic human-resource interface (P006265-616),Approved,Launch Consulting,USA,No,Yes,Boehm-Pfeffer,3.7,Projected
1/19/24 0:00,Role,Lizzy Skewes (B972145),Organic human-resource interface (P006265-616),Approved,Launch Consulting,USA,No,Yes,Boehm-Pfeffer,3.1,Actual
12/27/23 0:00,Role,Tait Shillabeer (I800839),Organic human-resource interface (P006265-616),Unapproved,Launch Consulting,USA,Yes,Yes,Boehm-Pfeffer,7.3,Projected
1/4/24 0:00,Role,Anna-diana Stidston (T211745),Organic human-resource interface (P006265-616),Approved,Launch Consulting,USA,No,No,Boehm-Pfeffer,6.2,Actual
12/2/23 0:00,Role,Christoforo Thirlwall (M016291),Organic human-resource interface (P006265-616),Approved,Launch Consulting,USA,Yes,No,Boehm-Pfeffer,2.7,Projected
1/25/24 0:00,Role,Jackie Chue (E762623),Organic human-resource interface (P006265-616),Approved,Launch Consulting,USA,No,No,Boehm-Pfeffer,2,Actual
1/25/24 0:00,Role,Yelena Plastow (B495647),Organic human-resource interface (P006265-616),Unapproved,Launch Consulting,USA,Yes,Yes,Boehm-Pfeffer,1.7,Actual
12/6/23 0:00,Role,Dix Krochmann (X733266),Organic human-resource interface (P006265-616),Unapproved,Launch Consulting,USA,Yes,Yes,Boehm-Pfeffer,4.5,Projected
1/10/24 0:00,Role,Galina Dupree (I864902),Organic human-resource interface (P006265-616),Unapproved,Launch Consulting,USA,Yes,Yes,Boehm-Pfeffer,5.8,Actual
1/20/24 0:00,Role,Wendy Barnsdall (F732599),Organic human-resource interface (P006265-616),Approved,Launch Consulting,USA,Yes,Yes,Boehm-Pfeffer,2.8,Actual
12/12/23 0:00,Role,Auria Bladon (E309849),Organic human-resource interface (P006265-616),Approved,Launch Consulting,USA,No,Yes,Boehm-Pfeffer,7.5,Projected
12/6/23 0:00,Role,Celestyna Yakubovics (D573705),Customer-focused high-level hub (P004788-086),Unapproved,Launch Consulting,USA,Yes,Yes,Dicki-Hagenes,1.6,Actual
1/10/24 0:00,Role,Aylmar McNirlin (E790019),Total multimedia knowledge user (P002368-733),Approved,Launch Consulting,USA,No,Yes,"Raynor, Flatley and Hintz",4.9,Projected
1/25/24 0:00,Role,Wenonah Clarabut (N396737),Configurable tangible forecast (P005767-524),Approved,Launch Consulting,USA,Yes,Yes,"Gibson, Carroll and Reichert",3.2,Projected
1/29/24 0:00,Role,Gustavus Vowells (B354252),Fully-configurable mission-critical Graphical User Interface (P009447-061),Unapproved,Launch Consulting,USA,Yes,Yes,"Nader, Bogisich and Schmeler",6.9,Actual
12/28/23 0:00,Role,Christine Jeffreys (D054147),Switchable dedicated hub (P004383-124),Unapproved,Launch Consulting,USA,Yes,No,"Hermiston, Murphy and Wehner",4.3,Projected
12/12/23 0:00,Role,Inesita Lett (K006593),Reduced value-added intranet (P006582-982),Unapproved,Launch Consulting,USA,Yes,No,Jacobi Group,5.8,Projected
1/25/24 0:00,Role,Timmie Giggie (Q661933),Re-engineered homogeneous throughput (P009364-994),Unapproved,Launch Consulting,USA,No,No,Larson-Kovacek,4.2,Projected
12/12/23 0:00,Role,Page Vial (G048009),Reduced multi-tasking synergy (P005297-260),Unapproved,Launch Consulting,USA,Yes,Yes,"Reynolds, Corkery and Kertzmann",6.7,Projected
12/20/23 0:00,Role,Dewie Euesden (P480108),Balanced well-modulated challenge (P004492-215),Unapproved,Launch Consulting,USA,No,Yes,Kling-Bartoletti,3.2,Projected
12/26/23 0:00,Role,Amberly Petre (G391292),Proactive uniform initiative (P001184-651),Approved,Launch Consulting,USA,No,Yes,Robel Inc,1.1,Projected
12/15/23 0:00,Role,Laura Learmont (T557039),Ergonomic asynchronous installation (P002654-281),Unapproved,Launch Consulting,USA,No,Yes,Schimmel Inc,7.6,Actual
1/29/24 0:00,Role,Gussi Bravey (H368307),Innovative discrete synergy (P008643-727),Approved,Launch Consulting,USA,No,Yes,"DuBuque, Schmidt and Stanton",4.8,Projected
11/30/23 0:00,Role,Colver Itzkowicz (Y872213),Centralized grid-enabled open system (P000709-576),Approved,Launch Consulting,USA,Yes,Yes,"DuBuque, Schmidt and Stanton",7.5,Projected
12/15/23 0:00,Role,Stafani Shaefer (S063402),Seamless exuding protocol (P007994-273),Unapproved,Launch Consulting,USA,Yes,No,"DuBuque, Schmidt and Stanton",2.9,Projected
12/18/23 0:00,Role,Betteann Antoons (Q072554),Exclusive optimal protocol (P004950-689),Unapproved,Launch Consulting,USA,Yes,No,"DuBuque, Schmidt and Stanton",2,Actual
12/20/23 0:00,Role,Danita McFadyen (M911027),Expanded asynchronous portal (P003313-567),Approved,Launch Consulting,USA,Yes,No,Emard-Terry,6.8,Actual
12/22/23 0:00,Role,Zechariah Fairlaw (B790363),User-friendly tangible extranet (P004904-483),Approved,Launch Consulting,USA,Yes,No,"Stokes, Reichert and Hamill",3.4,Actual
1/19/24 0:00,Role,Emelyne Caitlin (Z488417),Reactive background secured line (P008521-431),Unapproved,Launch Consulting,USA,Yes,Yes,Goodwin-Leuschke,3,Projected
12/26/23 0:00,Role,Urbain Boshard (N254810),Quality-focused impactful local area network (P004220-193),Unapproved,Launch Consulting,USA,Yes,Yes,"Breitenberg, Kohler and Harber",7.3,Projected
12/6/23 0:00,Role,Stanislaus Bamlet (A263727),Front-line dynamic parallelism (P000380-258),Unapproved,Launch Consulting,USA,Yes,Yes,Nienow-Marks,1.1,Projected
12/8/23 0:00,Role,Jolie Lochran (I334301),Networked maximized infrastructure (P008411-701),Unapproved,Launch Consulting,USA,No,No,Smith Inc,3.8,Projected
1/2/24 0:00,Role,Adriane Giovannardi (A200422),Networked maximized infrastructure (P008411-701),Approved,Launch Consulting,USA,No,Yes,Smith Inc,3.6,Projected
12/11/23 0:00,Role,Liz Dilon (L449559),Networked maximized infrastructure (P008411-701),Approved,Launch Consulting,USA,Yes,No,Smith Inc,1.8,Projected
12/15/23 0:00,Role,Katee Gahan (U053182),Networked maximized infrastructure (P008411-701),Approved,Launch Consulting,USA,No,Yes,Smith Inc,7.5,Projected
11/30/23 0:00,Role,Margalit Finding (S081414),Networked maximized infrastructure (P008411-701),Approved,Launch Consulting,USA,Yes,No,Smith Inc,7.9,Actual
12/24/23 0:00,Role,Ulrica Panter (S283049),Networked maximized infrastructure (P008411-701),Approved,Launch Consulting,USA,No,Yes,Smith Inc,3.7,Projected
1/5/24 0:00,Role,Kristos Amber (P948645),Networked maximized infrastructure (P008411-701),Approved,Launch Consulting,USA,Yes,No,Smith Inc,7.4,Actual
1/23/24 0:00,Role,Christy Pash (H360856),Networked maximized infrastructure (P008411-701),Approved,Launch Consulting,USA,Yes,Yes,Smith Inc,5.2,Actual
12/11/23 0:00,Role,Amber De Hooge (D956986),Networked maximized infrastructure (P008411-701),Unapproved,Launch Consulting,USA,No,No,Smith Inc,5.6,Projected
1/22/24 0:00,Role,Reid Gabbot (Z725873),Networked maximized infrastructure (P008411-701),Approved,Launch Consulting,USA,Yes,Yes,Smith Inc,5.5,Projected
1/19/24 0:00,Role,Jeralee Riddall (J954551),Networked maximized infrastructure (P008411-701),Unapproved,Launch Consulting,USA,Yes,No,Smith Inc,7.7,Projected
12/27/23 0:00,Role,Marcile McNaught (I335730),Networked maximized infrastructure (P008411-701),Unapproved,Launch Consulting,USA,Yes,Yes,Smith Inc,4.4,Actual
12/13/23 0:00,Role,Hadrian Swindon (I525367),Networked maximized infrastructure (P008411-701),Unapproved,Launch Consulting,USA,No,Yes,Smith Inc,2.2,Actual
1/17/24 0:00,Role,Mamie Randell (A177835),Networked maximized infrastructure (P008411-701),Approved,Launch Consulting,USA,No,No,Smith Inc,6,Projected
11/28/23 0:00,Role,Chet Dorow (I740786),Visionary modular budgetary management (P006663-549),Approved,Launch Consulting,USA,No,No,Lowe-DuBuque,5.4,Projected
1/3/24 0:00,Role,Tybi Bavage (C882283),Managed fault-tolerant alliance (P001003-708),Approved,Launch Consulting,USA,No,No,Bartoletti and Sons,3.7,Actual
12/7/23 0:00,Role,Kalindi Purdie (K415840),Centralized multi-tasking instruction set (P003488-566),Unapproved,Launch Consulting,USA,No,Yes,Halvorson-Mayer,5,Projected
12/31/23 0:00,Role,Alina Dethloff (U790516),Digitized regional support (P008806-922),Approved,Launch Consulting,USA,No,No,Hickle-Kris,7.8,Actual
12/31/23 0:00,Role,Giustina Butt (J664331),Managed transitional capacity (P003709-137),Approved,Launch Consulting,USA,Yes,No,Stracke Group,3.8,Projected
12/2/23 0:00,Role,Vernon Oglesbee (E448369),Self-enabling 6th generation open system (P004347-388),Unapproved,Launch Consulting,USA,No,No,Kozey Group,2,Projected
12/15/23 0:00,Role,Grayce Heindle (A434381),Expanded optimal groupware (P009013-716),Unapproved,Launch Consulting,USA,Yes,No,"Davis, Metz and Hirthe",3.5,Projected
12/5/23 0:00,Role,Dilan Agates (T108666),Pre-emptive logistical capability (P002724-353),Approved,Launch Consulting,USA,Yes,Yes,Raynor-Schaden,1.1,Projected
1/20/24 0:00,Role,Zondra Morl (T519193),Diverse secondary model (P007854-386),Approved,Launch Consulting,USA,No,No,Halvorson-Gislason,6.3,Actual
1/2/24 0:00,Role,Fawne Scandred (K355077),Switchable 6th generation initiative (P007362-653),Approved,Launch Consulting,USA,Yes,No,Sporer Inc,3.3,Actual
1/15/24 0:00,Role,Basilius Filchakov (X993928),Exclusive optimal conglomeration (P008409-562),Unapproved,Launch Consulting,USA,No,Yes,Kuphal LLC,1.3,Actual
1/1/24 0:00,Role,Miles McTiernan (M812084),Upgradable even-keeled architecture (P008561-137),Approved,Launch Consulting,USA,No,Yes,"Altenwerth, Murray and Rowe",1.3,Actual
12/19/23 0:00,Role,Quintina Huffey (X711557),Extended dynamic functionalities (P007125-355),Approved,Launch Consulting,USA,Yes,Yes,Bruen-Borer,7.2,Projected
12/9/23 0:00,Role,Luther Hoggan (A994458),Inverse asynchronous support (P001631-829),Approved,Launch Consulting,USA,No,Yes,Brown Inc,5.5,Actual
12/29/23 0:00,Role,Mona Parlatt (C337895),Sharable clear-thinking process improvement (P001083-941),Approved,Launch Consulting,USA,No,Yes,Weimann Inc,3.8,Projected
1/3/24 0:00,Role,Cele Trowsdall (U653283),Sharable static utilisation (P009235-406),Unapproved,Launch Consulting,USA,No,Yes,Weimann Inc,3.2,Actual
12/20/23 0:00,Role,Winna Southcott (P525952),Persistent well-modulated policy (P001003-976),Approved,Launch Consulting,USA,Yes,No,Weimann Inc,5.2,Projected
12/16/23 0:00,Role,Aurelia Gard (J690459),Streamlined asynchronous attitude (P008198-116),Approved,Launch Consulting,USA,Yes,No,Weimann Inc,6.3,Projected
1/12/24 0:00,Role,Templeton Omrod (D864409),Robust optimal budgetary management (P007650-511),Approved,Launch Consulting,USA,No,Yes,"DuBuque, Christiansen and Daugherty",4.8,Projected
12/21/23 0:00,Role,Fabian Creak (K064289),Seamless 24 hour infrastructure (P008885-062),Unapproved,Launch Consulting,USA,No,Yes,Klocko-Yundt,5.6,Projected
12/18/23 0:00,Role,Nilson Gavrieli (H036570),Visionary mobile parallelism (P003797-704),Approved,Launch Consulting,USA,No,Yes,Wunsch-Rice,5.4,Actual
1/13/24 0:00,Role,Cortney Cattel (B096824),Enterprise-wide tertiary info-mediaries (P000505-704),Approved,Launch Consulting,USA,No,Yes,Smitham-Schaefer,4,Projected
1/24/24 0:00,Role,Rusty Hammant (E393658),User-centric bi-directional utilisation (P003592-942),Approved,Launch Consulting,USA,No,No,"Connelly, Mills and Hauck",5.3,Projected
12/14/23 0:00,Role,Lazaro Gramer (W196498),User-centric bi-directional utilisation (P003592-942),Unapproved,Launch Consulting,USA,No,No,"Connelly, Mills and Hauck",1.2,Projected
1/30/24 0:00,Role,Marcella Seamarke (I560833),User-centric bi-directional utilisation (P003592-942),Approved,Launch Consulting,USA,Yes,Yes,"Connelly, Mills and Hauck",6.3,Projected
11/30/23 0:00,Role,Garrek Bottoms (T860178),User-centric bi-directional utilisation (P003592-942),Approved,Launch Consulting,USA,Yes,No,"Connelly, Mills and Hauck",5.5,Projected
12/7/23 0:00,Role,Carine Gerler (Z297511),User-centric bi-directional utilisation (P003592-942),Approved,Launch Consulting,USA,No,No,"Connelly, Mills and Hauck",3.7,Actual
12/26/23 0:00,Role,Pammy Hilldrup (T328756),User-centric bi-directional utilisation (P003592-942),Approved,Launch Consulting,USA,Yes,Yes,"Connelly, Mills and Hauck",4,Projected
12/4/23 0:00,Role,Kellen Cauderlie (M765937),User-centric bi-directional utilisation (P003592-942),Approved,Launch Consulting,USA,No,Yes,"Connelly, Mills and Hauck",4.7,Projected
1/12/24 0:00,Role,Joellyn Rubrow (A855270),User-centric bi-directional utilisation (P003592-942),Unapproved,Launch Consulting,USA,No,No,"Connelly, Mills and Hauck",3,Projected
12/19/23 0:00,Role,Dante Glewe (I583879),User-centric bi-directional utilisation (P003592-942),Unapproved,Launch Consulting,USA,Yes,Yes,"Connelly, Mills and Hauck",4.8,Projected
1/30/24 0:00,Role,Elisa Buer (Q240602),User-centric bi-directional utilisation (P003592-942),Approved,Launch Consulting,USA,No,No,"Connelly, Mills and Hauck",7.4,Projected
1/5/24 0:00,Role,Toinette Torra (F852992),User-centric bi-directional utilisation (P003592-942),Approved,Launch Consulting,USA,No,Yes,"Connelly, Mills and Hauck",3,Projected
11/27/23 0:00,Role,Ansell Rawstron (A584297),User-centric bi-directional utilisation (P003592-942),Approved,Launch Consulting,USA,Yes,No,"Connelly, Mills and Hauck",6.8,Projected
11/28/23 0:00,Role,Feliza Havesides (V284041),User-centric bi-directional utilisation (P003592-942),Unapproved,Launch Consulting,USA,Yes,No,"Connelly, Mills and Hauck",6.2,Actual
